ID|SNOMED_CID|SNOMED_FSN|SNOMED_CONCEPT_STATUS|UMLS_CUI|OCCURRENCE|USAGE|FIRST_IN_SUBSET|IS_RETIRED_FROM_SUBSET|LAST_IN_SUBSET|REPLACED_BY_SNOMED_CID
49|254837009|Malignant neoplasm of breast (disorder)|Current|C0006142|5|0.2608|200907|False||
50|48782003|Delivery normal (finding)|Current|C1384485|4|0.2568|200907|False||
51|397803000|Impotence (disorder)|Current|C0242350|7|0.2531|200907|False||
52|10743008|Irritable bowel syndrome (disorder)|Current|C0022104|8|0.2472|200907|False||
53|33879002|Administration of vaccine to produce active immunity (procedure)|Current|C0205991|5|0.2471|200907|False||
54|83607001|Gynecologic examination (procedure)|Current|C0200044|4|0.2426|200907|False||
55|110483000|Tobacco user (finding)|Current|C3853727|5|0.2407|200907|False||
56|81680005|Neck pain (finding)|Current|C0007859|8|0.2383|200907|False||
57|230690007|Cerebrovascular accident (disorder)|Current|C0038454|7|0.233|200907|False||
58|13791008|Asthenia (finding)|Current|C0004093|6|0.2314|200907|False||
59|45326000|Shoulder pain (finding)|Current|C0037011|6|0.2308|200907|False||
60|11381005|Acne vulgaris (disorder)|Current|C0702166|7|0.23|200907|False||
61|266569009|Benign prostatic hyperplasia (disorder)|Current|C1704272|7|0.2278|200907|False||
62|267036007|Dyspnea (finding)|Current|C0013404|8|0.2275|200907|False||
63|57406009|Carpal tunnel syndrome (disorder)|Current|C0007286|8|0.2226|200907|False||
64|32398004|Bronchitis (disorder)|Current|C0006277|8|0.2092|200907|False||
65|182764009|Anticoagulant therapy (procedure)|Current|C0150457|7|0.2075|200907|False||
66|398050005|Diverticular disease of colon (disorder)|Current|C0012819|8|0.2056|200907|False||
67|405737000|Pharyngitis (disorder)|Current|C0031350|6|0.2047|200907|False||
68|3723001|Arthritis (disorder)|Current|C0003864|8|0.1998|200907|False||
69|62315008|Diarrhea (finding)|Current|C0011991|8|0.1982|200907|False||
70|404640003|Dizziness (finding)|Current|C0012833|8|0.1954|200907|False||
71|15167005|Alcohol abuse (disorder)|Current|C0085762|8|0.1907|200907|False||
72|370992007|Dyslipidemia (disorder)|Current|C0242339|6|0.1903|200907|False||
73|52448006|Dementia (disorder)|Current|C0497327|8|0.1896|200907|False||
74|43116000|Eczema (disorder)|Current|C0013595|6|0.1848|200907|False||
75|254902007|Benign prostatic hypertrophy without outflow obstruction (disorder)|Current|C0346215|3|0.1843|200907|False||
76|271594007|Syncope (disorder)|Current|C0039070|8|0.184|200907|False||
77|15805002|Acute sinusitis (disorder)|Current|C0149512|7|0.1835|200907|False||
78|87522002|Iron deficiency anemia (disorder)|Current|C0162316|8|0.1816|200907|False||
79|21719001|Allergic rhinitis caused by pollen (disorder)|Current|C0018621|6|0.1793|200907|False||
80|236886002|Hysterectomy (procedure)|Current|C0020699|5|0.1764|200907|False||
81|4556007|Gastritis (disorder)|Current|C0017152|8|0.1757|200907|False||
82|193570009|Cataract (disorder)|Current|C0086543|8|0.1746|200907|False||
83|90688005|Chronic renal failure syndrome (disorder)|Current|C0022661|8|0.1695|200907|False||
84|53298000|Hematuria syndrome (disorder)|Current|C0018965|7|0.1674|200907|False||
85|42658009|Disorder of the peripheral nervous system (disorder)|Current|C0031117|7|0.1667|200907|False||
86|86569001|Postpartum state (finding)|Current|C0086839|1|0.1658|200907|False||
87|50711007|Viral hepatitis type C (disorder)|Current|C0019196|7|0.1632|200907|False||
88|80313002|Palpitations (finding)|Current|C0030252|8|0.1609|200907|False||
89|271807003|Eruption of skin (disorder)|Current|C0015230|8|0.1601|200907|False||
90|268376005|Mantoux: positive (finding)|Current|C0032739|7|0.1588|200907|False||
91|103742009|Renewal of prescription (procedure)|Current|C0686936|3|0.1569|200907|False||
92|38102005|Cholecystectomy (procedure)|Current|C0008320|5|0.1567|200907|False||
93|46635009|Diabetes mellitus type 1 (disorder)|Current|C0011854|8|0.1555|200907|False||
94|42399005|Renal failure syndrome (disorder)|Current|C0035078|7|0.1536|200907|False||
95|80146002|Excision of appendix (procedure)|Current|C0003611|4|0.1522|200907|False||
96|134435003|Routine antenatal care (regime/therapy)|Current|C1276362|4|0.1521|200907|False||
97|400047006|Peripheral vascular disease (disorder)|Current|C0085096|8|0.1516|200907|False||
98|80394007|Hyperglycemia (disorder)|Current|C0020456|8|0.1493|200907|False||
99|78318003|History and physical examination, annual for health maintenance (procedure)|Current|C0199203|3|0.1493|200907|False||
100|128613002|Seizure disorder (disorder)|Current|C0014544|6|0.1484|200907|False||
101|386661006|Fever (finding)|Current|C0015967|8|0.1475|200907|False||
102|57891003|Term infant (finding)|Current|C0456128|1|0.1458|200907|False||
103|239873007|Osteoarthritis of knee (disorder)|Current|C0409959|6|0.1457|200907|False||
104|201101007|Actinic keratosis (disorder)|Current|C0022602|7|0.1454|200907|False||
105|165232002|Urinary incontinence (finding)|Current|C0042024|8|0.1439|200907|False||
106|70153002|Hemorrhoids (disorder)|Current|C0019112|7|0.1433|200907|False||
107|91175000|Seizure (finding)|Current|C0036572|7|0.143|200907|False||
108|312608009|Laceration - injury (disorder)|Current|C0043246|7|0.1412|200907|False||
109|23986001|Glaucoma (disorder)|Current|C0017601|8|0.1407|200907|False||
110|162864005|Body mass index 30+ - obesity (finding)|Current|C0424671|1|0.1401|200907|False||
111|89164003|Breast lump (finding)|Current|C0024103|8|0.14|200907|False||
112|34014006|Viral disease (disorder)|Current|C0042769|6|0.14|200907|False||
113|309081009|Abnormal cervical smear (finding)|Current|C0476427|6|0.1392|200907|False||
114|128045006|Cellulitis (disorder)|Current|C0007642|7|0.1385|200907|False||
115|86198006|Influenza vaccination (procedure)|Current|C0042200|2|0.1385|200907|False||
116|69896004|Rheumatoid arthritis (disorder)|Current|C0003873|8|0.1384|200907|False||
117|398838000|Senile hyperkeratosis (disorder)|Current|C4282032|7|0.1368|200907|False||
118|10601006|Pain in lower limb (finding)|Current|C0023222|7|0.1352|200907|False||
119|197480006|Anxiety disorder (disorder)|Current|C0003469|4|0.1348|200907|False||
120|399153001|Vertigo (finding)|Current|C0042571|8|0.1344|200907|False||
121|278860009|Chronic low back pain (finding)|Current|C0457949|6|0.1341|200907|False||
122|709044004|Chronic kidney disease (disorder)|Current|C1561643|5|0.1333|201508|False||
123|40739000|Dysphagia (disorder)|Current|C0011168|8|0.1322|200907|False||
124|217154006|Fall on same level from slipping, tripping or stumbling (event)|Current|C0261615|2|0.1316|200907|False||
125|312894000|Osteopenia (disorder)|Current|C0029453|6|0.1297|200907|False||
126|267038008|Edema (finding)|Current|C0013604|8|0.1275|200907|False||
127|24693007|Fibromyositis (disorder)|Current|C0016053|6|0.1273|201002|False||
128|363406005|Malignant neoplasm of colon (disorder)|Current|C0007102|7|0.126|200907|False||
129|49218002|Hip pain (finding)|Current|C0019559|7|0.126|200907|False||
130|47505003|Posttraumatic stress disorder (disorder)|Current|C0038436|4|0.1258|200907|False||
131|703938007|Inflammatory dermatosis (disorder)|Current|C3875321|7|0.1251|201502|False||
132|9014002|Psoriasis (disorder)|Current|C0033860|8|0.125|200907|False||
133|57190000|Myopia (disorder)|Current|C0027092|6|0.1242|200907|False||
134|1201005|Benign essential hypertension (disorder)|Current|C0155583|5|0.1219|200907|False||
135|442311008|Liveborn born in hospital (situation)|Current|C2711966|2|0.1207|201002|False||
136|723620004|Requires vaccination (finding)|Current|C4509972|2|0.1199|201708|False||
137|214031005|Motor vehicle traffic accident (event)|Current|C2939181|7|0.1198|200907|False||
138|102589003|Atypical chest pain (finding)|Current|C0262384|7|0.1188|200907|False||
139|39450006|Age-related cataract (disorder)|Current|C0036646|4|0.1187|200907|False||
140|88610006|Heart murmur (finding)|Current|C0018808|8|0.1177|200907|False||
141|166603001|Liver function tests abnormal (finding)|Current|C0151766|7|0.1157|200907|False||
142|194828000|Angina (disorder)|Current|C0002962|7|0.1157|200907|False||
143|390951007|Impaired fasting glycaemia (disorder)|Current|C1272092|3|0.1157|200907|False||
144|413838009|Chronic ischemic heart disease (disorder)|Current|C0264694|3|0.1155|200907|False||
145|40055000|Chronic sinusitis (disorder)|Current|C0149516|7|0.1151|200907|False||
146|289903006|Menopause present (finding)|Current|C0567312|6|0.115|200907|False||
147|27355003|Toothache (finding)|Current|C0040460|5|0.1149|200907|False||
148|254701007|Basal cell carcinoma of skin (disorder)|Current|C0007117|7|0.1144|200907|False||
149|9826008|Conjunctivitis (disorder)|Current|C0009763|8|0.1117|200907|False||
150|20135006|Screening procedure (procedure)|Current|C0220908|5|0.1105|200907|False||
151|396152005|Raised prostate specific antigen (finding)|Current|C0178415|5|0.11|200907|False||
152|9414007|Impaired glucose tolerance (disorder)|Current|C0271650|6|0.1097|200907|False||
153|77176002|Smoker (finding)|Current|C0337664|4|0.1091|200907|False||
154|202882003|Plantar fasciitis (disorder)|Current|C0149756|6|0.1082|200907|False||
155|302870006|Hypertriglyceridemia (disorder)|Current|C0020557|7|0.1074|200907|False||
156|80182007|Irregular periods (finding)|Current|C0156404|7|0.1073|200907|False||
157|4740000|Herpes zoster (disorder)|Current|C0019360|8|0.107|200907|False||
158|60700002|Sensorineural hearing loss (disorder)|Current|C0018784|6|0.1056|200907|False||
159|12063002|Rectal hemorrhage (disorder)|Current|C0267596|8|0.1054|200907|False||
160|161615003|History of surgery (situation)|Current|C0455610|3|0.1042|201108|False||
161|13200003|Peptic ulcer (disorder)|Current|C0030920|8|0.1041|200907|False||
162|270352002|Medical examinations/reports (procedure)|Current|C0421950|2|0.1037|200907|False||
163|60862001|Tinnitus (finding)|Current|C0040264|8|0.1029|200907|False||
164|95315005|Uterine leiomyoma (disorder)|Current|C0042133|8|0.1029|200907|False||
165|13746004|Bipolar disorder (disorder)|Current|C0005586|7|0.1027|200907|False||
166|34713006|Vitamin D deficiency (disorder)|Current|C0042870|4|0.1025|200907|False||
167|266257000|Transient ischemic attack (disorder)|Current|C0007787|8|0.1023|200907|False||
168|43878008|Streptococcal sore throat (disorder)|Current|C0036689|6|0.1023|200907|False||
169|414941008|Onychomycosis (disorder)|Current|C0040261|6|0.1022|200907|False||
170|128053003|Deep venous thrombosis (disorder)|Current|C0149871|7|0.1021|200907|False||
171|41256004|Presbyopia (disorder)|Current|C0033075|4|0.102|200907|False||
172|110466009|Pre-surgery evaluation (procedure)|Current|C1293091|5|0.1018|200907|False||
173|103735009|Palliative care (regime/therapy)|Current|C0030231|2|0.1008|200907|False||
174|387712008|Neonatal jaundice (disorder)|Current|C0022353|3|0.0996|200907|False||
175|419760006|Bacterial vaginosis (disorder)|Current|C0085166|6|0.0981|200907|False||
176|267102003|Sore throat symptom (finding)|Current|C0242429|5|0.0981|200907|False||
177|18070006|Impacted cerumen (disorder)|Current|C0021092|7|0.0977|200907|False||
178|47933007|Foot pain (finding)|Current|C0016512|7|0.0971|200907|False||
179|23056005|Sciatica (disorder)|Current|C0036396|8|0.0967|200907|False||
180|271809000|Peripheral edema (disorder)|Current|C0085649|5|0.0966|200907|False||
181|422400008|Vomiting (disorder)|Current|C0042963|7|0.0962|200907|False||
182|428283002|History of polyp of colon (situation)|Current|C1997022|5|0.0955|200907|False||
183|236646007|Benign prostatic hypertrophy with outflow obstruction (disorder)|Current|C0341740|4|0.0953|200907|False||
184|313436004|Type II diabetes mellitus without complication (disorder)|Current|C0494290|2|0.0937|200907|False||
185|266474003|Calculus in biliary tract (disorder)|Current|C0008350|7|0.0929|200907|False||
186|79922009|Epigastric pain (finding)|Current|C0232493|7|0.0928|200907|False||
187|195239002|Late effects of cerebrovascular disease (disorder)|Current|C0155732|4|0.0927|200907|False||
188|25374005|Gastroenteritis (disorder)|Current|C0017160|7|0.0916|200907|False||
189|59282003|Pulmonary embolism (disorder)|Current|C0034065|8|0.0895|200907|False||
190|396232000|Inguinal hernia (disorder)|Current|C0019294|7|0.089|200907|False||
191|57019003|Verruca vulgaris (disorder)|Current|C0043037|7|0.0874|201002|False||
192|262285001|Weight decreased (finding)|Current|C1262477|6|0.0873|200907|False||
193|91302008|Sepsis (disorder)|Current|C0243026|6|0.0872|200907|False||
194|127013003|Disorder of kidney co-occurrent and due to diabetes mellitus (disorder)|Current|C0011881|5|0.087|200907|False||
195|399261000|History of coronary artery bypass grafting (situation)|Current|C1275842|3|0.0863|200907|False||
196|275978004|Screening for malignant neoplasm of colon (procedure)|Current|C0554837|6|0.0862|200907|False||
197|16932000|Nausea and vomiting (disorder)|Current|C0027498|7|0.086|200907|False||
198|34486009|Hyperthyroidism (disorder)|Current|C0020550|7|0.0853|200907|False||
199|128477000|Abscess (disorder)|Current|C0000833|5|0.0853|200907|False||
200|80967001|Dental caries (disorder)|Current|C0011334|7|0.0842|200907|False||
201|74474003|Gastrointestinal hemorrhage (disorder)|Current|C0017181|8|0.084|200907|False||
202|398909004|Rosacea (disorder)|Current|C0035854|7|0.0839|200907|False||
203|49049000|Parkinson's disease (disorder)|Current|C0030567|8|0.0836|200907|False||
204|443694000|Type II diabetes mellitus uncontrolled (finding)|Current|C2733146|4|0.0833|201008|False||
205|386692008|Menorrhagia (finding)|Current|C0025323|8|0.0828|200907|False||
206|363358000|Malignant tumor of lung (disorder)|Current|C0242379|8|0.0821|200907|False||
207|57676002|Joint pain (finding)|Current|C0003862|8|0.0813|200907|False||
208|238136002|Morbid obesity (disorder)|Current|C0028756|6|0.08|200907|False||
209|371088008|Reactive airways dysfunction syndrome (disorder)|Current|C1299633|6|0.0773|200907|False||
210|82991003|Generalized aches and pains (finding)|Current|C0281856|2|0.0773|200907|False||
211|84089009|Hiatal hernia (disorder)|Current|C3489393|7|0.0767|200907|False||
212|267954009|Arthralgia of the ankle and/or foot (finding)|Current|C0423658|4|0.0766|200907|False||
213|32914008|Restless legs (disorder)|Current|C0035258|6|0.0763|200907|False||
214|302215000|Thrombocytopenic disorder (disorder)|Current|C0040034|8|0.076|200907|False||
215|1755008|Old myocardial infarction (disorder)|Current|C0155668|6|0.0757|200907|False||
216|386033004|Neuropathy (disorder)|Current|C0442874|7|0.0751|200907|False||
217|85898001|Cardiomyopathy (disorder)|Current|C0878544|7|0.0751|200907|False||
218|4106009|Rotator cuff syndrome (disorder)|Current|C0263912|6|0.0748|200907|False||
219|281900007|No abnormality detected (finding)|Current|C0559229|1|0.0748|200907|False||
220|24079001|Atopic dermatitis (disorder)|Current|C0011615|7|0.0741|200907|False||
221|30473006|Pain in pelvis (finding)|Current|C0030794|5|0.0738|200907|False||
222|40275004|Contact dermatitis (disorder)|Current|C0011616|8|0.0736|200907|False||
223|162031009|Indigestion (finding)|Current|C0013395|8|0.0733|200907|False||
224|56294008|Nicotine dependence (disorder)|Current|C0028043|5|0.0729|200907|False||
225|44465007|Sprain of ankle (disorder)|Current|C0160087|8|0.0728|200907|False||
226|173422009|Tonsillectomy (procedure)|Current|C0040423|6|0.0728|200907|False||
227|422338006|Degenerative disorder of macula (disorder)|Current|C0024437|6|0.0723|200907|False||
228|254838004|Carcinoma of breast (disorder)|Current|C0678222|4|0.0723|200907|False||
229|281239006|Exacerbation of asthma (disorder)|Current|C0349790|3|0.0723|200907|False||
230|66590003|Alcohol dependence (disorder)|Current|C0001973|6|0.0721|200907|False||
231|43339004|Hypokalemia (disorder)|Current|C0020621|8|0.0715|200907|False||
232|28913000|Tonsillectomy and adenoidectomy (procedure)|Current|C0193959|5|0.0713|200907|False||
233|48724000|Mitral valve regurgitation (disorder)|Current|C0026266|6|0.0711|200907|False||
234|185317003|Telephone encounter (procedure)|Current|C0422284|1|0.0705|200907|False||
235|398780007|Contraception education (procedure)|Current|C1636201|4|0.0704|200907|False||
236|89627008|Hyponatremia (disorder)|Current|C0020625|8|0.0703|200907|False||
237|19155002|Dysfunctional uterine bleeding (finding)|Current|C0025874|7|0.0703|200907|False||
238|233985008|Abdominal aortic aneurysm (disorder)|Current|C0162871|6|0.0702|200907|False||
239|95324001|Skin lesion (disorder)|Current|C0037284|5|0.07|200907|False||
240|410083007|Rehabilitation therapy management (procedure)|Current|C1444227|1|0.07|200907|False||
241|79883001|Cyst of ovary (disorder)|Current|C0029927|7|0.0698|200907|False||
242|3135009|Otitis externa (disorder)|Current|C0029878|6|0.0694|200907|False||
243|162116003|Increased frequency of urination (finding)|Current|C0042023|8|0.0693|200907|False||
244|8517006|Ex-smoker (finding)|Current|C0337671|6|0.0688|200907|False||
245|54048003|Threatened abortion (disorder)|Current|C0000821|5|0.0687|200907|False||
246|298382003|Scoliosis deformity of spine (disorder)|Current|C0036439|8|0.0686|200907|False||
247|237495005|Thyroid nodule (disorder)|Current|C0040137|7|0.0686|200907|False||
248|76107001|Spinal stenosis (disorder)|Current|C0037944|8|0.0673|200907|False||
249|266599000|Dysmenorrhea (disorder)|Current|C0013390|8|0.0669|200907|False||
250|168750009|Mammography abnormal (finding)|Current|C0262365|5|0.0667|200907|False||
251|50563003|Seborrheic dermatitis (disorder)|Current|C0036508|8|0.0665|200907|False||
252|3110003|Acute otitis media (disorder)|Current|C0271429|4|0.0658|200907|False||
253|26929004|Alzheimer's disease (disorder)|Current|C0002395|8|0.0657|200907|False||
254|230572002|Neuropathy co-occurrent and due to diabetes mellitus (disorder)|Current|C0011882|7|0.0657|200907|False||
255|363746003|Acute pharyngitis (disorder)|Current|C0001344|5|0.0657|200907|False||
256|77547008|Degeneration of intervertebral disc (disorder)|Current|C0158266|6|0.0656|200907|False||
257|35253001|Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)|Current|C0339002|6|0.0653|200907|False||
258|83074005|Unplanned pregnancy (finding)|Current|C0041747|3|0.0653|200907|False||
259|198036002|Impotence of organic origin (disorder)|Current|C0156309|4|0.0643|200907|False||
260|18347007|Spinal stenosis of lumbar region (disorder)|Current|C0158288|6|0.064|200907|False||
261|55566008|Accidental physical contact (event)|Current|C1961149|1|0.0635|201002|False||
262|29738008|Proteinuria (finding)|Current|C0033687|8|0.0634|200907|False||
263|384634009|Postnatal maternal examination (procedure)|Current|C0587037|3|0.0632|201808|False||
264|126485001|Urticaria (disorder)|Current|C0042109|7|0.0627|200907|False||
265|33839006|Genital herpes simplex (disorder)|Current|C0019342|7|0.0627|200907|False||
266|372064008|Malignant neoplasm of female breast (disorder)|Current|C0235653|2|0.0622|200907|False||
267|422587007|Nausea (finding)|Current|C0027497|8|0.062|200907|False||
268|86094006|Chronic rhinitis (disorder)|Current|C0008711|7|0.0616|200907|False||
269|24700007|Multiple sclerosis (disorder)|Current|C0026769|8|0.0615|200907|False||
270|433144002|Chronic kidney disease stage 3 (disorder)|Current|C2316787|4|0.061|200907|False||
271|371631005|Panic disorder (disorder)|Current|C0030319|6|0.0606|200907|False||
272|406506008|Attention deficit hyperactivity disorder (disorder)|Current|C1263846|7|0.0605|200907|False||
273|185903001|Needs influenza immunization (finding)|Current|C1313967|2|0.0602|200907|False||
274|190634004|Cobalamin deficiency (disorder)|Current|C0042847|4|0.0599|200907|False||
275|238040008|Familial combined hyperlipidemia (disorder)|Current|C0020474|4|0.0599|200907|False||
276|48167000|Amnesia (finding)|Current|C0002622|6|0.0597|200907|False||
277|73761001|Colonoscopy (procedure)|Current|C0009378|3|0.0597|200907|False||
278|16001004|Otalgia (finding)|Current|C0013456|6|0.0596|200907|False||
279|26079004|Tremor (finding)|Current|C0040822|8|0.0592|200907|False||
280|302764009|Rubella non-immune (finding)|Current|C0428047|2|0.0589|200907|False||
281|267064002|Retention of urine (disorder)|Current|C0080274|8|0.0587|200907|False||
282|118601006|Non-Hodgkin's lymphoma (disorder)|Current|C0024305|7|0.0585|200907|False||
283|7200002|Alcoholism (disorder)|Current|C0001973|1|0.0582|201208|False||
284|49650001|Dysuria (finding)|Current|C0013428|8|0.058|200907|False||
285|21897009|Generalized anxiety disorder (disorder)|Current|C0270549|7|0.0575|200907|False||
286|77543007|Ligation of fallopian tube (procedure)|Current|C0520483|4|0.0572|200907|False||
287|282825002|Paroxysmal atrial fibrillation (disorder)|Current|C0235480|6|0.057|200907|False||
288|52052004|Rehabilitation therapy (regime/therapy)|Current|C0034991|2|0.0569|200907|False||
289|20696009|Peripheral venous insufficiency (disorder)|Current|C0042485|8|0.0567|200907|False||
290|390834004|Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)|Current|C0004606|5|0.0566|200907|False||
291|267949000|Shoulder joint pain (finding)|Current|C0423670|3|0.0566|200907|False||
292|18818009|Moderate recurrent major depression (disorder)|Current|C0154411|4|0.0565|200907|False||
293|307496006|Diverticulitis (disorder)|Current|C0012813|7|0.0562|200907|False||
294|427359005|Solitary nodule of lung (finding)|Current|C2350019|4|0.0562|200907|False||
295|14140009|Hyperkalemia (disorder)|Current|C0020461|8|0.0561|200907|False||
296|268621008|Recurrent major depressive episodes (disorder)|Current|C0154409|3|0.0559|200907|False||
297|243787009|Antenatal screening (procedure)|Current|C0740178|3|0.0555|200907|False||
298|109989006|Multiple myeloma (disorder)|Current|C0026764|6|0.0552|200907|False||
299|68905002|Regular astigmatism (disorder)|Current|C0152193|3|0.0549|200907|False||
300|94381002|Secondary malignant neoplasm of liver (disorder)|Current|C0494165|5|0.0544|200907|False||
301|64766004|Ulcerative colitis (disorder)|Current|C0009324|8|0.0543|200907|False||
302|30800001|Vaginitis (disorder)|Current|C0042267|8|0.0541|200907|False||
303|14669001|Acute renal failure syndrome (disorder)|Current|C0022660|7|0.0541|200907|False||
304|72892002|Normal pregnancy (finding)|Current|C0232989|3|0.0541|200907|False||
305|14302001|Amenorrhea (finding)|Current|C0002453|7|0.0538|200907|False||
306|34840004|Tendinitis (disorder)|Current|C0039503|7|0.0536|200907|False||
307|70076002|Rhinitis (disorder)|Current|C0035455|4|0.0535|200907|False||
308|231504006|Mixed anxiety and depressive disorder (disorder)|Current|C0338908|3|0.0534|200907|False||
309|102556003|Pain in upper limb (finding)|Current|C0239377|5|0.0531|200907|False||
310|249366005|Bleeding from nose (finding)|Current|C0014591|8|0.0529|201802|False||
311|34000006|Crohn's disease (disorder)|Current|C0010346|8|0.0527|200907|False||
312|193589009|Nuclear senile cataract (disorder)|Current|C0271166|3|0.0527|200907|False||
313|68962001|Muscle pain (finding)|Current|C0231528|6|0.0526|200907|False||
314|408968008|Contraception care education (procedure)|Current|C1443484|4|0.0526|200907|False||
315|419893006|Epidermoid cyst (disorder)|Current|C0014511|6|0.0525|200907|False||
316|386806002|Impaired cognition (finding)|Current|C0338656|4|0.0522|200907|False||
317|195951007|Acute exacerbation of chronic obstructive airways disease (disorder)|Current|C0340044|6|0.0521|200907|False||
318|182770003|Pre-anesthetic assessment (procedure)|Current|C0474221|1|0.0521|200907|False||
319|69494008|Eustachian tube disorder (disorder)|Current|C0271468|5|0.052|200907|False||
320|90458007|Internal hemorrhoids (disorder)|Current|C0265034|7|0.0519|200907|False||
321|66214007|Substance abuse (disorder)|Current|C0740858|6|0.0518|200907|False||
322|400096001|Melanocytic nevus (disorder)|Current|C0027962|7|0.0517|200907|False||
323|22253000|Pain (finding)|Current|C0030193|5|0.0516|200907|False||
324|302914006|Barrett's esophagus (disorder)|Current|C0004763|6|0.0515|200907|False||
325|271939006|Vaginal discharge (finding)|Current|C0227791|4|0.0515|200907|False||
326|62914000|Cerebrovascular disease (disorder)|Current|C0007820|6|0.0513|200907|False||
327|281031002|Well woman health examination (procedure)|Current|C0420152|2|0.051|200907|False||
328|372244006|Malignant melanoma (disorder)|Current|C0025202|4|0.0507|200907|False||
329|13600006|Folliculitis (disorder)|Current|C0016436|7|0.0504|200907|False||
330|160303001|Family history: Diabetes mellitus (situation)|Current|C1313937|6|0.0504|200907|False||
331|409712001|Mitral valve prolapse (disorder)|Current|C0026267|6|0.0502|200907|False||
332|128302006|Chronic hepatitis C (disorder)|Current|C0524910|5|0.0498|200907|False||
